"","V1","V2","V3"
"Epaxial_bead_cra",-32.3385645257672,-28.6518824090933,-137.412715316132
"Epaxial_bead_mid1_dor",-40.0701131873863,-23.9474437628185,-158.644766044863
"Epaxial_bead_mid1_ven",-37.5497481918915,-33.207371572503,-162.608922216785
"Epaxial_bead_mid2_dor",-42.9982702390199,-27.4524685664122,-177.36853876764
"Epaxial_bead_mid2_ven",-40.595238548246,-33.6378218486659,-179.676530065977
"Epaxial_bead_mid3_dor",-43.3842418110333,-25.5651321934355,-203.330539578747
"Epaxial_bead_mid3_ven",-40.2968234966558,-34.1418796470717,-201.991988009857
"HyoidL_bead_cau",-18.7987493882161,-60.4702206987803,-82.8063700367884
"HyoidL_bead_cra",-24.7022506117839,-64.2927793012197,-78.1516299632116
"Hypaxial_bead_cau",-24.9587826937439,-65.9934131985394,-230.593650814907
"Hypaxial_bead_cra",-17.0616524704257,-68.3227791987949,-133.984991543673
"Hypaxial_bead_mid1",-16.5683799528117,-68.5731691847964,-164.146741292252
"Hypaxial_bead_mid2",-15.5401848830187,-65.1806384178694,-191.908616349168
"LowerJawL_bead_cau",-12.0956109163475,-62.9775339937744,-75.3205527805406
"LowerJawL_bead_cra",-21.136283743941,-62.6062890703323,-55.6902120335331
"LowerJawL_bead_mid",-16.2601053397115,-58.2151769358933,-65.2122351859263
"Neurocranium_bead_cau",-39.9122235604981,-26.287625725921,-121.23505353863
"Neurocranium_bead_cau_e1",-44.1023381451137,-26.7202707327236,-123.358444030852
"Neurocranium_bead_cau_e2",-39.5997606233689,-24.7962704318135,-131.605721745573
"Neurocranium_bead_cra_L",-28.2436980477925,-38.0507757705301,-73.5799761017027
"Neurocranium_bead_cra_R",-55.2477700225762,-47.5693539349333,-64.5677647372828
"Neurocranium_bead_mid",-41.3542096006505,-34.0127034040784,-87.3000398459594
"Neurocranium_midline_dor_cau",-39.315,-27.9,-113.01
"Neurocranium_midline_dor_cra",-37.071,-49.711,-48.142
"Neurocranium_midline_dor_mid",-38.392,-36.753,-82.701
"Neurocranium_midline_ven_cau",-37.324,-47.222,-117.721
"Neurocranium_midline_ven_cra",-36.996,-52.032,-52.568
"Neurocranium_midline_ven_mid",-37.197,-48.753,-86.895
"Neurocranium_premax_dist_L",-24.307,-54.929,-46.946
"Neurocranium_premax_dist_R",-48.32,-57.648,-46.73
"Neurocranium_preorbital_cau_L",-26.341,-41.46,-70.744
"Neurocranium_preorbital_cau_R",-49.341,-44.049,-70.744
"Neurocranium_preorbital_dist_L",-16.45,-49.291,-65.119
"Neurocranium_preorbital_dist_R",-57.626,-54.275,-65.335
"Neurocranium-PostTemporalL_transcapular_dist",-33.368,-44.871,-117.474
"Neurocranium-SuspensoriumL_nc_susp_jt_cra",-30.307,-39.399,-91.729
"OperculumL_bead_cau_dor",-10.9077727903228,-44.7869030120206,-110.557598095601
"OperculumL_bead_cra_dor",-11.7942041601527,-42.8752565346943,-105.385659318685
"OperculumL_bead_ven",-6.02802304952447,-55.1638404532851,-101.214742585714
"PectoralGirdleL_bead_cau",-10.3645558613965,-54.897965000146,-135.138763116318
"PectoralGirdleL_bead_cra",-9.67184072861946,-61.3906246234744,-104.036019670822
"PectoralGirdleL_bead_mid",-7.99660340998402,-54.1564103763796,-118.65421721286
"PectoralGirdleL_cp1p1",-22.643,-33.46,-123.964
"PectoralGirdleL_cp1p2",-16.772,-40.913,-122.233
"PectoralGirdleL_cp1p3",-16.781,-41.593,-117.474
"PectoralGirdleL_cp1p4",-20.856,-35.818,-120.286
"PectoralGirdleL_cp2p1",-22.982,-35.292,-123.531
"PectoralGirdleL_cp2p2",-21.857,-36.459,-120.286
"PectoralGirdleL_cp2p3",-19.086,-42.65,-122.233
"PectoralGirdleL_cp2p4",-19.46,-42.05,-118.339
"PectoralGirdleL_midline_cra",-32.609,-65.783,-81.987
"PostTemporalL_bead_cau_dor",-15.9141891197003,-37.1144287756149,-119.67229836741
"PostTemporalL_bead_cra_dor",-15.5595886719133,-37.9810878987381,-118.048101553577
"PostTemporalL_bead_ven",-14.1132222083864,-42.276483325647,-123.354600079013
"PostTemporalL_cp1v1f",-13.2,-44.833,-123.964
"PostTemporalL_cp1v2",-16.983,-41.733,-117.041
"PostTemporalL_cp1v3",-19.585,-36.781,-120.286
"PostTemporalL_cp2v1f",-18.44,-45.364,-120.502
"PostTemporalL_cp2v2",-21.921,-39.151,-121.152
"PostTemporalL_cp2v3",-18.632,-42.569,-117.257
"PostTemporalL_transcapular_dist",-33.368,-44.871,-117.474
"Sternohyoid_bead_cau",-27.1279918378469,-65.0913776650274,-81.4515722720373
"Sternohyoid_bead_cra",-32.9850081621531,-61.1836223349726,-73.0174277279627
"SuspensoriumL_bead_dor",-13.0842291288798,-41.3898078926793,-101.199214052996
"SuspensoriumL_bead_mid",-9.09342952552587,-52.3466373809206,-93.8307818659092
"SuspensoriumL_bead_ven",-6.92034134559436,-58.7635547264001,-88.5940040810952
"Urohyal_bead",-36.441,-62.865,-73.556
"Urohyal_midline_cau",-37.082,-62.001,-73.4
"Urohyal-HyoidL_Urohyal_hypohyal_jt",-33.905,-58.407,-67.044
